,Route Name,First bus Time,Last Bus Time,Ticket Price
0,Vijayawada to Hyderabad,"<span class=""totalRoutes"">First Bus<!-- --> : <strong>00:05</strong></span>","<span class=""totalRoutes"">Last Bus<!-- --> : <strong>23:55</strong></span>","<span class=""fare""> <!-- -->INR 436</span>"
1,Hyderabad to Vijayawada,"<span class=""totalRoutes"">First Bus<!-- --> : <strong>00:10</strong></span>","<span class=""totalRoutes"">Last Bus<!-- --> : <strong>23:55</strong></span>","<span class=""fare""> <!-- -->INR 367</span>"
2,Kakinada to Visakhapatnam,"<span class=""totalRoutes"">First Bus<!-- --> : <strong>00:30</strong></span>","<span class=""totalRoutes"">Last Bus<!-- --> : <strong>23:40</strong></span>","<span class=""fare""> <!-- -->INR 239</span>"
3,Bangalore to Tirupati,"<span class=""totalRoutes"">First Bus<!-- --> : <strong>03:30</strong></span>","<span class=""totalRoutes"">Last Bus<!-- --> : <strong>23:55</strong></span>","<span class=""fare""> <!-- -->INR 280</span>"
4,Visakhapatnam to Kakinada,"<span class=""totalRoutes"">First Bus<!-- --> : <strong>00:25</strong></span>","<span class=""totalRoutes"">Last Bus<!-- --> : <strong>23:55</strong></span>","<span class=""fare""> <!-- -->INR 239</span>"
5,Kadapa to Bangalore,"<span class=""totalRoutes"">First Bus<!-- --> : <strong>00:25</strong></span>","<span class=""totalRoutes"">Last Bus<!-- --> : <strong>23:50</strong></span>","<span class=""fare""> <!-- -->INR 412</span>"
6,Bangalore to Kadapa,"<span class=""totalRoutes"">First Bus<!-- --> : <strong>04:00</strong></span>","<span class=""totalRoutes"">Last Bus<!-- --> : <strong>23:50</strong></span>","<span class=""fare""> <!-- -->INR 388</span>"
7,Chittoor (Andhra Pradesh) to Bangalore,"<span class=""totalRoutes"">First Bus<!-- --> : <strong>01:30</strong></span>","<span class=""totalRoutes"">Last Bus<!-- --> : <strong>23:59</strong></span>","<span class=""fare""> <!-- -->INR 186</span>"
8,Anantapur (andhra pradesh) to Bangalore,"<span class=""totalRoutes"">First Bus<!-- --> : <strong>00:30</strong></span>","<span class=""totalRoutes"">Last Bus<!-- --> : <strong>23:59</strong></span>","<span class=""fare""> <!-- -->INR 250</span>"
9,Tirupati to Bangalore,"<span class=""totalRoutes"">First Bus<!-- --> : <strong>00:30</strong></span>","<span class=""totalRoutes"">Last Bus<!-- --> : <strong>23:55</strong></span>","<span class=""fare""> <!-- -->INR 264</span>"
